iter	Passed	Remaining
0	58	58033
1	58	29116
2	58	19511
3	59	14713
4	59	11822
5	59	9897
6	60	8519
7	60	7491
8	60	6686
9	60	6038
10	61	5509
11	61	5065
12	61	4689
13	62	4369
14	62	4093
15	62	3852
16	62	3640
17	63	3449
18	63	3280
19	63	3126
20	64	2987
21	64	2865
22	65	2762
23	65	2663
24	65	2568
25	66	2485
26	66	2407
27	67	2330
28	67	2261
29	67	2194
30	68	2130
31	68	2069
32	68	2013
33	68	1959
34	69	1909
35	69	1861
36	69	1816
37	70	1773
38	70	1733
39	70	1694
40	70	1657
41	71	1622
42	71	1588
43	71	1556
44	71	1525
45	72	1496
46	72	1468
47	72	1441
48	72	1416
49	73	1392
50	73	1369
51	74	1350
52	74	1329
53	74	1310
54	75	1290
55	75	1270
56	75	1252
57	76	1236
58	76	1220
59	76	1202
60	77	1186
61	77	1169
62	77	1154
63	77	1138
64	78	1123
65	78	1110
66	78	1096
67	78	1082
68	79	1069
69	79	1056
70	79	1043
71	80	1031
72	80	1019
73	80	1008
74	80	997
75	81	987
76	81	976
77	81	967
78	82	957
79	82	948
80	82	938
81	82	928
82	83	917
83	83	908
84	83	899
85	83	891
86	84	883
87	84	876
88	84	867
89	85	861
90	85	854
91	85	847
92	86	841
93	86	834
94	86	827
95	87	821
96	87	814
97	87	807
98	87	800
99	89	801
100	89	795
101	89	789
102	89	783
103	90	780
104	91	775
105	91	769
106	91	765
107	91	759
108	92	753
109	92	748
110	92	742
111	93	737
112	93	732
113	93	727
114	93	723
115	94	718
116	94	712
117	94	708
118	95	703
119	95	698
120	95	694
121	95	689
122	96	685
123	96	682
124	97	679
125	97	675
126	97	670
127	97	666
128	98	662
129	98	659
130	98	655
131	99	651
132	99	647
133	99	643
134	99	640
135	100	636
136	100	633
137	100	629
138	101	626
139	101	622
140	101	619
141	101	614
142	102	611
143	102	608
144	102	604
145	102	601
146	103	598
147	103	595
148	103	592
149	104	589
150	104	586
151	104	583
152	105	581
153	105	578
154	105	575
155	105	572
156	106	570
157	106	567
158	106	564
159	107	562
160	107	558
161	107	556
162	107	553
163	108	550
164	108	548
165	108	545
166	108	542
167	109	540
168	109	537
169	109	535
170	109	532
171	110	530
172	110	527
173	110	525
174	111	523
175	111	521
176	111	518
177	111	516
178	112	514
179	112	512
180	112	510
181	113	508
182	113	506
183	113	504
184	114	502
185	114	500
186	114	498
187	115	496
188	115	494
189	115	492
190	115	490
191	116	489
192	116	487
193	116	485
194	117	483
195	117	481
196	117	479
197	117	477
198	118	475
199	118	473
200	118	471
201	118	470
202	119	468
203	119	466
204	119	464
205	120	462
206	120	461
207	120	459
208	121	458
209	121	456
210	121	454
211	121	453
212	122	451
213	122	449
214	122	448
215	123	446
216	123	444
217	123	443
218	123	441
219	124	439
220	124	438
221	124	436
222	124	435
223	125	433
224	125	432
225	125	430
226	125	428
227	126	427
228	126	425
229	126	424
230	126	422
231	127	421
232	127	419
233	127	418
234	128	416
235	128	415
236	128	413
237	128	412
238	129	411
239	129	409
240	129	408
241	129	407
242	130	405
243	130	404
244	130	403
245	131	401
246	131	400
247	131	399
248	131	397
249	132	396
250	132	395
251	132	393
252	133	392
253	133	391
254	133	390
255	133	389
256	134	387
257	134	386
258	134	385
259	134	384
260	135	382
261	135	381
262	135	380
263	136	379
264	136	378
265	136	377
266	136	375
267	137	374
268	137	373
269	137	372
270	138	371
271	138	370
272	138	369
273	138	368
274	139	367
275	139	365
276	139	364
277	140	363
278	140	362
279	140	361
280	140	360
281	141	359
282	141	358
283	141	357
284	141	356
285	142	354
286	142	353
287	142	352
288	143	351
289	143	351
290	143	349
291	143	348
292	144	347
293	144	346
294	144	345
295	145	345
296	145	344
297	145	343
298	145	342
299	146	341
300	146	340
301	146	339
302	147	338
303	147	337
304	147	336
305	148	335
306	148	334
307	148	333
308	148	333
309	149	332
310	149	331
311	149	330
312	149	329
313	150	328
314	150	327
315	150	326
316	150	325
317	151	324
318	151	323
319	152	323
320	152	322
321	152	321
322	152	320
323	153	319
324	153	318
325	153	317
326	153	316
327	154	316
328	154	315
329	154	314
330	155	313
331	155	312
332	155	311
333	155	310
334	156	310
335	156	309
336	156	308
337	157	307
338	157	306
339	157	305
340	157	304
341	158	304
342	158	303
343	158	302
344	158	301
345	159	300
346	159	299
347	159	299
348	159	298
349	160	297
350	160	296
351	160	295
352	160	294
353	161	294
354	161	293
355	161	292
356	162	292
357	162	291
358	162	290
359	162	289
360	163	288
361	163	288
362	163	287
363	164	286
364	164	285
365	164	285
366	164	284
367	165	283
368	165	282
369	165	282
370	165	281
371	166	280
372	166	279
373	167	279
374	167	278
375	167	277
376	167	277
377	167	276
378	168	275
379	168	275
380	168	274
381	169	273
382	169	272
383	169	272
384	169	271
385	170	270
386	170	269
387	170	269
388	170	268
389	171	267
390	171	267
391	171	266
392	172	265
393	172	264
394	172	264
395	172	263
396	173	263
397	173	262
398	173	261
399	173	260
400	174	260
401	174	259
402	174	258
403	175	258
404	175	257
405	175	256
406	175	256
407	176	255
408	176	254
409	176	254
410	177	253
411	177	253
412	177	252
413	177	251
414	178	251
415	178	250
416	178	250
417	179	249
418	179	248
419	179	247
420	179	247
421	180	246
422	180	246
423	180	245
424	180	244
425	181	244
426	181	243
427	181	242
428	181	242
429	182	241
430	182	240
431	182	240
432	183	239
433	183	239
434	183	238
435	183	237
436	184	237
437	184	236
438	184	235
439	184	235
440	185	234
441	185	234
442	185	233
443	185	232
444	186	232
445	186	231
446	186	230
447	187	230
448	187	229
449	187	229
450	187	228
451	188	228
452	188	227
453	188	226
454	188	226
455	189	225
456	189	225
457	189	224
458	190	224
459	190	223
460	190	222
461	190	222
462	191	221
463	191	221
464	191	220
465	191	220
466	192	219
467	192	218
468	192	218
469	193	217
470	193	217
471	193	216
472	193	216
473	194	215
474	194	214
475	194	214
476	195	213
477	195	213
478	195	212
479	195	212
480	196	211
481	196	211
482	196	210
483	196	209
484	197	209
485	197	208
486	197	208
487	197	207
488	198	207
489	198	206
490	199	206
491	199	205
492	199	205
493	199	204
494	200	204
495	200	203
496	200	203
497	200	202
498	201	201
499	201	201
500	201	200
501	201	200
502	202	199
503	202	199
504	202	198
505	203	198
506	203	197
507	203	197
